pinyin,chinese_name,property_text
aiye,艾叶,性味辛苦温；归肝脾肾经；功效：温经止血、散寒止痛、调经安胎、外用祛湿止痒。
ajiao,阿胶,性味甘平；归肺肝肾经；功效：补血滋阴、润燥、止血。
baibiandou,白扁豆,性味甘微温；归脾胃经；功效：健脾化湿、和中消暑。
baibu,百部,性味甘苦微温；归肺经；功效：润肺下气止咳、杀虫灭虱。
baifan,白矾,性味酸涩寒；归肺脾肝大肠经；功效：外用解毒杀虫、燥湿止痒；内服止血止泻、祛除风痰。
baihe,百合,性味甘寒；归心肺经；功效：养阴润肺、清心安神。
baihuasheshecao,白花蛇舌草,性味微苦甘寒；归胃大肠小肠经；功效：清热解毒、利湿通淋。
baikou,白豆蔻,性味辛温；归肺脾胃经；功效：化湿行气、温中止呕、开胃消食。
baimaogen,白茅根,性味甘寒；归肺胃膀胱经；功效：凉血止血、清热利尿。
baishao,白芍,性味苦酸微寒；归肝脾经；功效：养血调经、敛阴止汗、柔肝止痛、平抑肝阳。
baitouweng,白头翁,性味苦寒；归胃大肠经；功效：清热解毒、凉血止痢。
baizhu,白术,性味苦甘温；归脾胃经；功效：健脾益气、燥湿利水、止汗、安胎。
baiziren,柏子仁,性味甘平；归心肾大肠经；功效：养心安神、润肠通便、止汗。
bajitian,巴戟天,性味甘辛微温；归肾肝经；功效：补肾阳、强筋骨、祛风湿。
banlangen,板蓝根,性味苦寒；归心胃经；功效：清热解毒、凉血利咽。
banxia,半夏,性味辛温有毒；归脾胃肺经；功效：燥湿化痰、降逆止呕、消痞散结。
beishashenkuai,北沙参,性味甘微苦微寒；归肺胃经；功效：养阴清肺、益胃生津。
beishashentiao,北沙参,性味甘微苦微寒；归肺胃经；功效：养阴清肺、益胃生津。
biejia,鳖甲,性味咸微寒；归肝肾经；功效：滋阴潜阳、退热除蒸、软坚散结。
cangzhu,苍术,性味辛苦温；归脾胃肝经；功效：燥湿健脾、祛风散寒、明目。
caoguo,草果,性味辛温；归脾胃经；功效：燥湿温中、截疟除痰。
caokou,草蔻,性味辛温；归脾胃经；功效：燥湿行气、温中止呕。
