name,source,category,composition,effects,indications,usage,warning
六味地黄丸,小儿药证直诀,滋阴,熟地黄、山茱萸、山药、泽泻、牡丹皮、茯苓,滋阴补肾,肾阴亏损，头晕耳鸣，腰膝酸软，骨蒸潮热，盗汗遗精，消渴,每服6-9g，每日2次，淡盐汤或温开水送服；亦可作汤剂水煎服,脾虚泄泻、痰湿内盛者慎用；外感期间不宜服用
四君子汤,太平惠民和剂局方,补气,人参、白术、茯苓、甘草,益气健脾,脾胃气虚，面色萎白，食少便溏，四肢乏力,水煎服，日1剂，分2-3次温服,实证、热证者不宜；阴虚内热者慎用；人参反藜芦，忌与藜芦同用
四物汤,太平惠民和剂局方,补血,当归、川芎、白芍、熟地黄,补血调血,营血虚滞，月经不调，经行腹痛，面色萎黄，头晕心悸,水煎服，日1剂,阴虚血热者慎用；血崩气脱者禁用；孕妇应在医师指导下使用
逍遥散,太平惠民和剂局方,疏肝,柴胡、当归、白芍、白术、茯苓、甘草、薄荷、生姜,疏肝解郁、健脾养血,肝郁血虚脾弱，两胁作痛，头痛目眩，口燥咽干，神疲食少，月经不调,共为粗末，每服6g，加薄荷、生姜少许煎服；亦可作汤剂,阴虚火旺、肝阳上亢者慎用
玉屏风散,丹溪心法,补气,黄芪、白术、防风,益气固表止汗,表虚自汗，易感风邪（体虚易感冒）,研末，每服6-9g，日2次，大枣煎汤送服；亦可作汤剂,外感表实证（风热感冒）者不宜
银翘散,温病条辨,辛凉解表,金银花、连翘、薄荷、荆芥、淡竹叶、牛蒡子、桔梗、芦根、甘草,辛凉透表、清热解毒,温病初起，发热无汗，或有汗不畅，微恶风寒，头痛口渴，咳嗽咽痛,鲜芦根汤煎服，香气大出即取服；日2-3次,风寒感冒者不宜；脾胃虚寒者慎用
小柴胡汤,伤寒论,和解少阳,柴胡、黄芩、人参、半夏、甘草、生姜、大枣,和解少阳,伤寒少阳证，寒热往来，胸胁苦满，默默不欲饮食，心烦喜呕，口苦咽干目眩,水煎服，日1剂，分2-3次温服,肝火偏盛、阴虚血少者慎用；含半夏（有毒），须炮制并遵医嘱使用
二陈汤,太平惠民和剂局方,化痰,半夏、陈皮、茯苓、甘草、生姜、乌梅,燥湿化痰、理气和中,湿痰证，咳嗽痰多色白易咯，胸膈痞闷，恶心呕吐，肢体困重,加生姜7片、乌梅1枚，水煎服,阴虚燥咳、痰中带血者忌用；含半夏（有毒），须炮制并遵医嘱使用
补中益气汤,脾胃论,补气,黄芪、人参、白术、甘草、当归、陈皮、升麻、柴胡,补中益气、升阳举陷,脾胃气虚，少气懒言，体倦肢软，饮食减少，久泻脱肛，子宫脱垂，气虚发热,水煎服，日1剂，分2-3次温服,阴虚火旺、实证热证者忌用；肝阳上亢者慎用
桃红四物汤,医宗金鉴,活血,桃仁、红花、当归、川芎、白芍、熟地黄,养血活血、祛瘀止痛,血虚兼血瘀，月经不调，经色紫暗有血块，痛经，跌打损伤瘀痛,水煎服，日1剂,孕妇禁用（活血逐瘀）；月经过多、有出血倾向者禁用；桃仁有小毒
温胆汤,三因极一病证方论,化痰,半夏、竹茹、枳实、陈皮、甘草、茯苓、生姜、大枣,理气化痰、和胃利胆,胆郁痰扰，胆怯易惊，虚烦不宁，失眠多梦，呕恶呃逆,加生姜5片、大枣1枚，水煎服,心脾两虚之虚烦失眠不宜；含半夏（有毒），须炮制并遵医嘱使用
左金丸,丹溪心法,清肝,黄连、吴茱萸,清泻肝火、降逆止呕,肝火犯胃，胁肋疼痛，嘈杂吞酸，呕吐口苦,水丸，每服3-6g，日2次，温开水送服,脾胃虚寒、呕逆泄泻者忌用；吴茱萸有小毒，用量宜轻
